Year,Month,Total Dates, Total Places
2019, Dec, Ox Ridge Hunt Club, 1
2019, Dec, South End, 1
2019, Dec, Caffè Nero, 1
2019, Dec, Downtown, 1
2019, Dec, Little Thai Kitchen, 1
2019, Dec, Fulton Street Station, 1
2019, Dec, The Fulton Center, 1
2019, Dec, The Roosevelt Hotel, 1
2019, Dec, Middlesex Middle School, 1
2019, Dec, Trumbull Continuing Education, 1
2019, Dec, Bridgeport Hospital, 1
2019, Dec, Family Auto Body Inc, 1
2019, Dec, Shake Shack, 1
2019, Dec, Yale New Haven Children's Hospital Pediatric Specialty Center - Norwalk, 1
2019, Dec, Minar Indian Restaurant, 1
2019, Dec, 49 St Subway Station, 1
2019, Dec, IEX Group, 1
2019, Dec, Buffalo Wild Wings, 1
2019, Dec, Wee Burn Country Club Inc, 1
2019, Dec, Darien Town Hall, 1
2019, Dec, Ring's End, 1
2019, Dec, Walgreens, 1
2019, Dec, Walmart, 1
2019, Dec, Weed Beach Tennis, 1
2019, Dec, Stop & Shop, 1
2019, Dec, Darien Butcher Shop, 1
2019, Dec, Best Buy, 1
2019, Dec, undefined, 1
2019, Dec, 43 Oak Point Dr S, 1
2019, Dec, Sergios, 1
2019, Dec, Stamford Barbershop, 1
2019, Dec, Bow Tie Cinemas Regent, 1
2019, Dec, CVS, 1
2019, Dec, Darien Diner, 1
2019, Dec, Jennifer's Kitchen @ White Bridge, 1
2019, Dec, Darien Library, 1
2019, Dec, ShopRite of Shippan Ave- Stamford, CT, 1
2019, Dec, Merritt On the River, 1
2019, Dec, BevMax, 1
2019, Dec, 28 Intervale Rd, 1
2020, Jan, 9 Shipway Rd(Rental), 78
2020, Jan, Dermatologist(Contract Work), 29
2020, Jan, University of Connecticut-Stamford Campus, 12
2020, Jan, Darien, 8
2020, Jan, 43 Blueberry Ln, 4
2020, Jan, Darien High School, 4
2020, Jan, Revive Center For Wellness, 3
2020, Jan, Sergios, 3
2020, Jan, Shake Shack, 3
2020, Jan, Hyatt Regency Greenwich, 2
2020, Jan, The Campus, 2
2020, Jan, Darien Library, 2
2020, Jan, Riverview East, 2
